crashID,firstCrashType,crashType,cost,numUnits
2395bae1583fd5a57b5574f278ac4523e64b200f1c7c62f05c2ffbaea577ab597002a4e77ac75f584dcee31af19b8631acdd179bd1deefc9ae1cccc97075c4de,REAR END,NO INJURY / DRIVE AWAY,4999,2
f0f4b7bc76f760e7eb1dc3ba90dd6c1669aaf6327014b91f094c9de04840dcb004285ef3c2edf235a488ba29d02e2ba05ce87ccf53bb1e5115764b5599e1a7ca,SIDESWIPE SAME DIRECTION,INJURY AND / OR TOW DUE TO CRASH,1756,2
10717787bc313fa9496173dad1abeb980fadd967d17d0106cea2ceb17276b01c5c737fe42ec60614e7acc4333d8914a94ccec4dcfc572dd7802ef6fda1755d5f,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,471,2
3507f291f30d2c6f9b9088b39fc536a031b896162f3c421ce15c0b89f767cd4581c3b099575c84f57c0d61df82e69d48fb116891264986ee22c860cb796ea3ac,TURNING,INJURY AND / OR TOW DUE TO CRASH,553,2
85b700da4b200d8f041e90c517f58252094e10f968407fbb4988ff605357e5741c03fddffb649e7f79340185e08a43a320f316d1c05b3e60958abfe3e11d074f,REAR END,INJURY AND / OR TOW DUE TO CRASH,3969,2
f4c70504e4f2c8520079a6f5e5052f52f762485f72bbfbe735470ddbdab036ab9528f533606a1c640c5651d78700637583788774c4daeb213575aa54f4310e40,ANGLE,NO INJURY / DRIVE AWAY,632,2
973acb18b4a22978cd99f05583ad57f05ce1ea9fda4420310916597eaee44be658e41f7d52536fdf0cfd04e2303b401e84e74e4434a0e2bdd4b1c721f07c06e4,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,3526,4
59636a3f7b4a960ad8b2a92120c55c87e64eabcf9ad7a2f5588655ded4a49901544521fbfda7d30dcaec396af4f1522214565536721e19c77fc3e881e41731f2,FIXED OBJECT,NO INJURY / DRIVE AWAY,1108,1
3602c78f38a5fbf5d84acd0aa70ca6e095c832617c734fb98b31e9b1bf389bb2fa64d15ac42f3def97f32137f71d9931b1ca97edb0a2a90476ab7389928cc4c3,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,4299,2
23d7ef8e272b1bd1a602425f60ef1a9cde1006993ba224fe5f20a3a57bba46a822e0107fa15265a2f77f0034b72cf7ff91b5a6be4c19c018cae6316806ce7ab6,REAR END,NO INJURY / DRIVE AWAY,1256,2
2ae6fdc87e98faaa92a4ebfaebfd5bfe44b4db84259bc7020fa7a4dca8a3b3f9686481231c552d19f4007f24edb2090157d0eaf36596391e303dde4eae771e58,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,1592,2
c85be6697be89a02f269bc2f843b44232c4139ef5936cb5ff18fcd431277e55cb2f6d52e5e0468927a1645d0a18364016857b83926ff83e678d2867a7ee15c61,TURNING,INJURY AND / OR TOW DUE TO CRASH,3042,2
52c721ba6f6d0a7334ce84ba7bade5f6354408ebac39d8bb43bb5dd120072c0121d3ea876544652da209e221a69c8656b08044d9118d18cdf3e7b6388c4505e4,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,1465,2
71d1e248c1d1a783629cf41f50dcf990cd9c4743602aae5050486560ec67fbaa36d33c9b74bdbc460c79efd6e6acf45c457be75f89c23d601a5a81306076b86a,PARKED MOTOR VEHICLE,INJURY AND / OR TOW DUE TO CRASH,4106,4
3c56c4f4b6980a59fe79b19a0921e8ca7e4864dad16871cea3c70a3b4e9657332d72bac9f22b97e96b04f36ab554b402216b6253a4f415bf05a6e550633cf44f,SIDESWIPE SAME DIRECTION,NO INJURY / DRIVE AWAY,2862,2
cfce75b18e584dc1c554cfd4362b7906ff65cb5812986b2af48e2186148b6d1726e129c73c5b904595e7571ad55ec8be58624f1a776b9b7f72489428f5841f00,ANGLE,NO INJURY / DRIVE AWAY,2430,2
b8a331abbc782f833cb6230db8710f8207c6c204b0cc16af80a43ac073c630c047a55351ca7d72d06fc9dbca526319ac32442ede3d1f361924797f0bd6afdf9a,TURNING,INJURY AND / OR TOW DUE TO CRASH,827,2
7330922234545667f5d05879c9d56532b8ebc77c967993765223a52816252d94692cdf0f0386f47309443159ae26aade753b3c1fea153b8135d8f9b869883e0c,PARKED MOTOR VEHICLE,NO INJURY / DRIVE AWAY,2682,2
