locationID,streetName,streetNumber,streetDirection,beatOfOccurence
1,87TH ST,321,W,634
2,CLARK ST,1000,S,123
3,MAPLEWOOD AVE,5829,N,2011
4,NORTH AVE,3956,W,2535
5,HARLEM AVE,5798,N,1612
6,CONGRESS PKWY,3600,W,1133
7,PEORIA ST,8129,S,613
8,CLYBOURN AVE,2506,N,1931
9,LAKE SHORE DR,3130,N,1934
10,IRVING PARK RD,4151,W,1732
11,ELIZABETH ST,6348,S,724
12,63RD ST,3222,W,823
13,BELMONT AVE,555,W,1934
14,DR MARTIN LUTHER KING JR DR,11405,S,531
15,BERWYN AVE,1476,W,2013
16,GRESHAM AVE,2962,N,1412
17,87TH ST,1615,E,412
18,INGLESIDE AVE,6532,S,321
19,NORMAL AVE,10853,S,2233
20,KEDZIE AVE,6222,S,823
21,MADISON ST,5432,W,1522
22,MUSKEGON AVE,8600,S,423
23,LAKE SHORE DR,950,N,1833
24,IRVING PARK RD,12000,W,1654
25,FOSTER AVE,6302,W,1622
26,JEFFERY BLVD,6741,S,331
27,LONG AVE,2540,N,2515
28,LAWRENCE AVE,1001,W,1914
29,31ST ST,742,W,914
30,CENTRAL PARK AVE,8201,S,834
31,GRAND AVE,802,W,1214
32,IRVING PARK RD,11400,W,1654
33,LA SALLE DR,1299,N,1821
34,LAKE SHORE DR,900,N,1833
35,HALSTED ST,331,S,1232
36,KEDZIE AVE,2800,S,1032
37,MADISON ST,2550,W,1222
38,BROADWAY,3314,N,1925
39,HOLLYWOOD AVE,1230,W,2013
40,EXCHANGE AVE,7600,S,421
41,IRVING PARK RD,12300,W,1654
42,CENTRAL PARK AVE,1951,S,1024
43,CICERO AVE,5050,N,1621
44,MADISON ST,599,W,121
45,HARLEM AVE,3535,N,1632
46,111TH ST,3200,W,2211
47,WELLS ST,730,N,1831
48,TALMAN AVE,5419,S,923
49,WOOD ST,3205,S,912
50,MARQUETTE RD,350,E,312
51,PULASKI RD,3827,N,1732
52,IRVING PARK RD,4817,W,1634
53,PULASKI RD,5115,S,822
54,ST LAWRENCE AVE,7100,S,323
55,CICERO AVE,6300,S,813
56,RIDGE AVE,5675,N,2013
57,LAKE SHORE DR E,1800,S,132
58,79TH ST,30,W,623
59,71ST ST,501,E,323
60,LONG AVE,4030,N,1624
61,STATE ST,540,N,1831
62,CORNELL DR,6100,S,331
63,48TH PL,777,W,935
64,MARQUETTE RD,301,E,322
65,TALMAN AVE,6934,S,831
66,LAKE SHORE DR NB,2300,N,1814
67,126TH ST,2636,E,433
68,GRAND AVE,2331,W,1221
69,26TH ST,3311,W,1032
70,CICERO AVE,459,N,1111
71,NEW ENGLAND AVE,2600,N,2512
72,WELLINGTON AVE,4700,W,2521
73,STONY ISLAND AVE,8900,S,413
74,OHARE ST,500,W,1653
75,ABERDEEN ST,171,N,1224
76,DAMEN AVE,958,N,1212
77,BELMONT AVE,5041,W,2521
78,SEDGWICK ST,1455,N,1821
79,LARAMIE AVE,518,S,1522
80,WESTERN AVE,4900,N,2031
81,HARLEM AVE,3104,N,2511
82,CALDWELL AVE,6363,N,1621
83,CRANDON AVE,6930,S,331
84,STONY ISLAND AVE,8015,S,411
85,HALSTED ST,12700,S,523
86,LOWER WACKER DR,300,E,114
87,26TH ST,3001,W,1033
88,MOBILE AVE,4580,N,1622
89,OGDEN AVE,3200,W,1022
90,LAWLER AVE,5110,S,814
91,79TH ST,851,E,624
92,79TH ST,1600,E,411
93,CALIFORNIA AVE,6700,S,831
94,COTTAGE GROVE AVE,6400,S,312
95,CONGRESS PKWY,3716,W,1133
96,BARRY AVE,2845,W,1411
97,PULASKI RD,6141,N,1711
98,101ST ST,201,W,511
99,ARTHUR AVE,1432,W,2432
100,ASHLAND AVE,6940,S,735
101,HALE AVE,10645,S,2212
102,DR MARTIN LUTHER KING JR DR,3101,S,211
103,FULLERTON AVE,3410,W,1413
104,SAWYER AVE,5700,S,822
105,PULASKI RD,1605,S,1014
106,ASHLAND AVE,4423,S,924
107,WABASH AVE,144,S,112
108,CLARK ST,5147,N,2033
109,KEDZIE AVE,5510,S,822
110,ELSTON AVE,5066,N,1623
111,DOTY AVE W,10900,S,513
112,CERMAK RD,2552,W,1023
113,63RD ST,10,W,311
114,MARSHFIELD AVE,4715,S,931
115,CERMAK RD,4320,W,1012
116,ROSEMONT AVE,2209,W,2413
117,ASHLAND AVE,7600,S,611
118,INDIANAPOLIS AVE,10453,S,432
119,PULASKI RD,1205,S,1011
120,LAKE SHORE DR NB,800,N,1833
121,SACRAMENTO BLVD,201,N,1222
122,CERMAK RD,2101,W,1034
123,DAYTON ST,1530,N,1822
124,LA SALLE DR,343,N,1831
125,PINE AVE,742,N,1524
126,53RD PL,5223,W,814
127,SHERIDAN RD,4443,N,1914
128,58TH ST,6258,W,811
129,HARLEM AVE,6300,N,1612
130,HALSTED ST,7110,S,733
131,MILWAUKEE AVE,3336,N,1731
132,WABASH AVE,182,N,111
133,MONTROSE AVE,4750,W,1722
134,DR MARTIN LUTHER KING JR DR,3857,S,212
135,BALBO DR,301,E,114
136,ARMITAGE AVE,3958,W,2525
137,BESSIE COLEMAN DR,172,N,1654
138,CHURCH ST,11334,S,2212
139,111TH ST,323,W,522
140,CHAMPLAIN AVE,7600,S,624
141,DAMEN AVE,7106,N,2424
142,ARCHER AVE,5528,S,814
143,LANGLEY AVE,4700,S,223
144,63RD ST,1158,W,712
145,IRVING PARK RD,3944,W,1723
146,CICERO AVE,6298,S,813
147,CLARK ST,4070,N,1912
