personID,personType,crashID,injuryID,vehicleID,seatNum,city,state,zipcode,sex,age,safetyEquipment,airbagDeployed,ejection,injuryClassification,year,date,time
P306275,PASSENGER,3507f291f30d2c6f9b9088b39fc536a031b896162f3c421ce15c0b89f767cd4581c3b099575c84f57c0d61df82e69d48fb116891264986ee22c860cb796ea3ac,4,1307890,3,NULL,NULL,NULL,F,24,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2022,07/11/2022,03:10:00 PM
P317383,PASSENGER,3c786dd0da0cc3aa0c6b84aad18b3ddb317ad2fd906390afc0259f3bec63d8c89cbeca515294ab19824e584cc04c1134bc6fae0f0eda028532d597a835c760e6,321,1358546,3,NULL,NULL,NULL,F,23,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,2022,09/16/2022,10:50:00 AM
P306253,PASSENGER,733c1441bd8b2bad3d739f9b435fa5f4ba476002f78c68f1d41043d6d457c00a7be1aff2ed64e9601fbc9b256ae5b2c43a316f39f66e506c5f716b0e59247643,50,1307715,3,NULL,NULL,NULL,M,23,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2022,07/11/2022,12:30:00 PM
P314697,PASSENGER,8a2009c1321b884c9f6a912d214ae7e3e3bc6b874c8aa465ed5eccfdfae0da2bf052ff1de69d51c417e10fc15f9e075ccfa07b7e657842021a8eda0b0c5b5c70,340,1346272,3,CHICAGOI,IL,NULL,M,60,USAGE UNKNOWN,DID NOT DEPLOY,NONE,NONINCAPACITATING INJURY,2022,09/10/2022,08:39:00 AM
P399249,PASSENGER,fe4dccdb050e2aa247e4fead31e55671eb245646f2443bb8b92159637256068e58fec8ec4f9a5fdabd3e435d8a2a4cfda72cd15c2be5461281117c3df6bd8566,1476,1721126,3,CHICAGO,IL,60632,F,20,NONE PRESENT,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2024,04/28/2024,08:15:00 PM
P382531,PASSENGER,62dc89d9dc742cfbd78d0e1ac445b15ec818a794003bbe710fde796b00db6a9831013fc072575ed40d828c09f5f4490f24b23b30a5e103f2b18e7dce7f62e6db,689,1646592,1,CHICAGO,IL,60626,M,36,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,2023,12/24/2023,04:59:00 PM
P361145,PASSENGER,5260148a3011c52e6d1765811eff7bd39430a0d378bbb9f21836b5897a967465c8423e9770e38c9e1e6bf20602621d09665c267943421fc971f28977d371f8e8,905,1553242,4,CHICAGO,IL,60612,F,0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2023,08/04/2023,12:02:00 PM
P361146,PASSENGER,5260148a3011c52e6d1765811eff7bd39430a0d378bbb9f21836b5897a967465c8423e9770e38c9e1e6bf20602621d09665c267943421fc971f28977d371f8e8,905,1553242,6,CHICAGO,IL,60612,M,0,SAFETY BELT USED,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2023,08/04/2023,12:02:00 PM
P399886,PASSENGER,0ddac058c40dff830f4e94efb061db1d5aa91e94292bab7749a4eaf2247b44db6d620d6c464f79ce54ebf1fc6181ad6df3981b889dc4bc9b846485de5d6d939b,1420,1724005,3,SUN PRAIRIE,WI,53590,M,44,SAFETY BELT USED,DID NOT DEPLOY,NONE,REPORTED,NOT EVIDENT,2024,04/30/2024,11:00:00 PM
P359466,PASSENGER,cbe7785c40ca882c13b7aa3b79bbd54629d10e579a9df9cf1c55c7d7dc3681b6a3f3184269b0e1ba186f101fd040f4fd2d3d7876c01dcbc3cc592b825558f25b,973,1546216,3,NULL,NULL,NULL,NULL,0,NONE PRESENT,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2023,07/24/2023,04:10:00 PM
P306866,PASSENGER,2ad31dbc859cb7556a31aa9bd79700c5405be70eb98ee372e77be48ab8d5feb1b07d7751e212c8c4904780f0b954fea045c808d047a1a366d27e0e7d9056ed9b,339,1310626,3,CHICAGO,IL,60620,F,23,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,2022,07/15/2022,05:00:00 PM
P287533,PASSENGER,5ff78f002e72d77fe4962af2b2d5c093ec71c1127ee1100ed135290b352edf3206ccb1cedab5c078f6289152850cb1ab7433a9de8beb70a544737026eecc638b,304,1225794,3,CHICAGO,IL,60608,M,34,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,2022,03/01/2022,08:58:00 PM
P300657,PASSENGER,924594a8c8d6c6027e8f5c98a0f8148f6594fff39571980cfa6ec924eb651b30f63a6b90e1f962630bc896677b1d4acee53783d3dcf28bee3f8b0bc4f358825f,414,1284816,3,ALGONQUIN,IL,60102,F,20,USAGE UNKNOWN,DEPLOYED,COMBINATION,NONE,NO INDICATION OF INJURY,2022,06/06/2022,12:01:00 AM
P300658,PASSENGER,924594a8c8d6c6027e8f5c98a0f8148f6594fff39571980cfa6ec924eb651b30f63a6b90e1f962630bc896677b1d4acee53783d3dcf28bee3f8b0bc4f358825f,414,1284816,4,CHICAGO,IL,60620,M,25,USAGE UNKNOWN,DEPLOYED,COMBINATION,NONE,NONINCAPACITATING INJURY,2022,06/06/2022,12:01:00 AM
P300659,PASSENGER,924594a8c8d6c6027e8f5c98a0f8148f6594fff39571980cfa6ec924eb651b30f63a6b90e1f962630bc896677b1d4acee53783d3dcf28bee3f8b0bc4f358825f,414,1284816,6,CHICAGO,IL,60624,F,59,USAGE UNKNOWN,DEPLOYED,COMBINATION,NONE,NO INDICATION OF INJURY,2022,06/06/2022,12:01:00 AM
P298576,PASSENGER,839ba4bfeb1079e0a867341e84ef575733ddc0325e2a4f51f18a4510030a2786ddaceb9fc68a6f1d6bdb0047bb1fe8210d9e0a044f8bf1601365799abd062760,102,1275487,3,NULL,NULL,NULL,F,0,USAGE UNKNOWN,DEPLOYED,FRONT,NONE,NONINCAPACITATING INJURY,2022,05/22/2022,08:20:00 AM
P298693,PASSENGER,d4c121ba4feb460e46b254b09ce697755ecef7f800b47f87f144c6f23d423db7ebfad6200bb54bf80da0cf3ac9f91ad72eaf1832cf4872c235f11253bbeecb88,117,1276052,2,NULL,IL,NULL,M,0,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2022,05/23/2022,11:30:00 AM
P298735,PASSENGER,5b3b890d0a5cdfa6cecfcba1c5c5fcecb7ee963fe78dfd99efc4018c42bed3b146561e93f45ff9ec04ea08abfb17f4508aa6cc140169246409bd25d9c04c0364,498,1276253,4,NULL,NULL,NULL,F,0,SAFETY BELT USED,NOT APPLICABLE,NONE,REPORTED,NOT EVIDENT,2022,05/23/2022,04:34:00 PM
P298736,PASSENGER,5b3b890d0a5cdfa6cecfcba1c5c5fcecb7ee963fe78dfd99efc4018c42bed3b146561e93f45ff9ec04ea08abfb17f4508aa6cc140169246409bd25d9c04c0364,498,1276253,6,NULL,NULL,NULL,F,0,SAFETY BELT USED,NOT APPLICABLE,NONE,REPORTED,NOT EVIDENT,2022,05/23/2022,04:34:00 PM
P298743,PASSENGER,88060191d495648371a7566f5b0ed2c29ea12022893279e73e0c99362c8a4c971cc415b63420fc9fc52d21c407361b36cdbe1e7b860954f2bb52f87cc9439563,493,1276232,3,NULL,IL,NULL,F,0,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2022,05/23/2022,02:15:00 PM
P307169,PASSENGER,0db350883c714e7ddfbd84c563491f70dc31281482b19a0cd65409e30e34863ca0d919b43da4d30189206f02ee03453e8dbe943ec641f721f7fb42210ac2e053,271,1311788,3,CHICAGO,IL,60629,M,0,SAFETY BELT USED,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,2022,07/17/2022,04:45:00 PM
P307212,PASSENGER,fc7a07c0a937d832b017ae8b1be7c5059b49931ef20087cf38623764e7ed06d3604d54c0569b564a1720df6f3c83c6bce7a40d18833be03db708cad527330885,119,1311963,3,NULL,NULL,NULL,F,0,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,2022,07/17/2022,01:49:00 PM
P307213,PASSENGER,fc7a07c0a937d832b017ae8b1be7c5059b49931ef20087cf38623764e7ed06d3604d54c0569b564a1720df6f3c83c6bce7a40d18833be03db708cad527330885,119,1311963,4,NULL,NULL,NULL,F,0,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,2022,07/17/2022,01:49:00 PM
P298958,PASSENGER,f1ab32819da0c8cc1f8424be0e595346b879649519af5e220a6f024e0295b6d330bd23bf9c0751f8f55090107e64d93dae63b258ecdcb223dd7d05870672bffe,328,1277354,3,CHICAGO,IL,NULL,M,18,SAFETY BELT USED,DEPLOYED,FRONT,NONE,NO INDICATION OF INJURY,2022,05/25/2022,01:18:00 PM
P298959,PASSENGER,f1ab32819da0c8cc1f8424be0e595346b879649519af5e220a6f024e0295b6d330bd23bf9c0751f8f55090107e64d93dae63b258ecdcb223dd7d05870672bffe,328,1277354,6,CHICAGO,IL,NULL,M,17,SAFETY BELT USED,DEPLOYED,FRONT,NONE,NO INDICATION OF INJURY,2022,05/25/2022,01:18:00 PM
P313248,PASSENGER,11fc625f1528586a316e21e1674c7e260f512511f3654d3042694981f6996829089b185eecfb97251764d9c5f93b78c36f70abff0be9577742bfa1c3f8508016,467,1339976,3,CHICAGO,IL,60626,M,27,USAGE UNKNOWN,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,2022,08/31/2022,05:00:00 PM
P313255,PASSENGER,5fddcd1d90d35990dcc2fc4ce1c9da06959a0a48b7e3cc1206523ad53e5b4e27d7a6d2930fbca9ff3deb2bbe304cd18eaf3d2d6b5285dd51173efcb52e8ee61b,107,1339988,5,NULL,IL,NULL,M,0,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2022,08/31/2022,04:40:00 PM
P313256,PASSENGER,5fddcd1d90d35990dcc2fc4ce1c9da06959a0a48b7e3cc1206523ad53e5b4e27d7a6d2930fbca9ff3deb2bbe304cd18eaf3d2d6b5285dd51173efcb52e8ee61b,107,1339988,4,NULL,IL,NULL,X,0,USAGE UNKNOWN,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,2022,08/31/2022,04:40:00 PM
P291776,PASSENGER,8434db80c00ea0e77c3bcbf3ece5139c205d7a7bed2edfd56a2f1ef699f68957769c77d7a4eaeab57a45daf01ecb77120653fefd340136d91c629046d3315efa,207,1245245,5,CHICAGO,IL,60609,F,0,NONE PRESENT,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,2022,04/04/2022,08:25:00 AM
P291777,PASSENGER,8434db80c00ea0e77c3bcbf3ece5139c205d7a7bed2edfd56a2f1ef699f68957769c77d7a4eaeab57a45daf01ecb77120653fefd340136d91c629046d3315efa,207,1245245,6,CHICAGO,IL,60609,M,0,NONE PRESENT,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,2022,04/04/2022,08:25:00 AM
