crashUnitID,crashID,vehicleID,damageID,crashDate,unitNumber,unitType,numPassengers,vehicleMake,vehicleModel,licencePlateState,vehicleYear,vehicleDefect,vehicleType,vehicleUse,travelDirection,maneuver,occupantCount
1255966,e1cecfb0a6d32fffa873ddd4498d9e254bb85ca9f1cf4e83d8fc91f0fa671a38b8c07c2e493aec697a2ac42998e03edaf7b9f919f564ec3a424f598f21c38659,1192158,51,01/01/2022 01:30:00 AM,1,DRIVER,1,CHRYSLER,OTHER (EXPLAIN IN NARRATIVE),IL,2014,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,N,OTHER,2
1255967,e1cecfb0a6d32fffa873ddd4498d9e254bb85ca9f1cf4e83d8fc91f0fa671a38b8c07c2e493aec697a2ac42998e03edaf7b9f919f564ec3a424f598f21c38659,1192165,51,01/01/2022 01:30:00 AM,2,DRIVER,,GENERAL MOTORS CORPORATION (GMC),TERRAIN,IL,2013,NONE,OTHER VEHICLE WITH TRAILER,PERSONAL,N,STRAIGHT AHEAD,1
1256516,e0426ec82e270bf8290d27bc7ebe37fee39312d3e8dd9bc28a6c92b6a4bdf0c1368435d53d1f699b851463cf610cf74b15ae602c22eaa9c2dda0e83bb743de45,1192695,87,01/02/2022 07:30:00 PM,1,DRIVER,,UNKNOWN,OTHER (EXPLAIN IN NARRATIVE),,,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,SLOW/STOP IN TRAFFIC,1
1256517,e0426ec82e270bf8290d27bc7ebe37fee39312d3e8dd9bc28a6c92b6a4bdf0c1368435d53d1f699b851463cf610cf74b15ae602c22eaa9c2dda0e83bb743de45,1192703,87,01/02/2022 07:30:00 PM,2,DRIVER,,CHEVROLET,TAHOE,IL,2005,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,E,SLOW/STOP IN TRAFFIC,1
1256651,f4c70504e4f2c8520079a6f5e5052f52f762485f72bbfbe735470ddbdab036ab9528f533606a1c640c5651d78700637583788774c4daeb213575aa54f4310e40,1192818,6,01/03/2022 08:15:00 AM,1,DRIVER,2,UNKNOWN,MOTORIZED,,,UNKNOWN,UNKNOWN/NA,UNKNOWN/NA,N,STRAIGHT AHEAD,3
1256652,f4c70504e4f2c8520079a6f5e5052f52f762485f72bbfbe735470ddbdab036ab9528f533606a1c640c5651d78700637583788774c4daeb213575aa54f4310e40,1192824,6,01/03/2022 08:15:00 AM,2,DRIVER,,FORD,OTHER (EXPLAIN IN NARRATIVE),IL,2017,NONE,PASSENGER,OTHER,W,STRAIGHT AHEAD,1
1256685,85b700da4b200d8f041e90c517f58252094e10f968407fbb4988ff605357e5741c03fddffb649e7f79340185e08a43a320f316d1c05b3e60958abfe3e11d074f,1192850,5,01/03/2022 09:00:00 AM,1,DRIVER,,NISSAN,SENTRA,,2008,UNKNOWN,PASSENGER,UNKNOWN/NA,N,UNKNOWN/NA,1
1256686,85b700da4b200d8f041e90c517f58252094e10f968407fbb4988ff605357e5741c03fddffb649e7f79340185e08a43a320f316d1c05b3e60958abfe3e11d074f,1192857,5,01/03/2022 09:00:00 AM,2,DRIVER,,TOYOTA,RAV4,IL,2015,UNKNOWN,SPORT UTILITY VEHICLE (SUV),PERSONAL,N,OTHER,1
1256952,467659b79a248369437a56caa3b5e00614b2b0bec7bd3bee23771b1d48eb5cddbee388d82901c9b217d04a054ed3218f2ed5852082d4563fbbfe625a8a15cc92,1193113,265,01/03/2022 01:30:00 PM,1,DRIVER,,CHEVROLET,OTHER (EXPLAIN IN NARRATIVE),IL,1988,UNKNOWN,VAN/MINI-VAN,PERSONAL,S,STRAIGHT AHEAD,1
1256953,467659b79a248369437a56caa3b5e00614b2b0bec7bd3bee23771b1d48eb5cddbee388d82901c9b217d04a054ed3218f2ed5852082d4563fbbfe625a8a15cc92,1193118,265,01/03/2022 01:30:00 PM,2,DRIVER,2,HONDA,ACCORD,IL,2003,NONE,PASSENGER,PERSONAL,S,BACKING,3
1257085,67346f26c938b2cab0f9f0d81879ebb7531ef868f5197905a730c02d0795b3eee6b37d70203d3b4078e4359dd06be367fef13e63168ad67e7af6a3ed8b34f046,1193235,191,01/03/2022 04:51:00 PM,1,DRIVER,2,ACURA,ZDX,IL,2011,NONE,PASSENGER,PERSONAL,S,STRAIGHT AHEAD,3
1257086,67346f26c938b2cab0f9f0d81879ebb7531ef868f5197905a730c02d0795b3eee6b37d70203d3b4078e4359dd06be367fef13e63168ad67e7af6a3ed8b34f046,1193243,191,01/03/2022 04:51:00 PM,2,DRIVER,1,DODGE,CHARGER,IL,2020,NONE,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,2
1257087,67346f26c938b2cab0f9f0d81879ebb7531ef868f5197905a730c02d0795b3eee6b37d70203d3b4078e4359dd06be367fef13e63168ad67e7af6a3ed8b34f046,1193249,191,01/03/2022 04:51:00 PM,3,DRIVER,2,GENERAL MOTORS CORPORATION (GMC),OTHER (EXPLAIN IN NARRATIVE),IL,2008,UNKNOWN,PASSENGER,PERSONAL,W,STRAIGHT AHEAD,3
1257334,fcdd2f289720e823c67a8a7e3dc69ee9c2e388eee830752f3c502248084dd4c072a51f8509b32eee277c593d6001fbe81af84b7785ee751bd795bfa628d4e151,1193471,193,01/04/2022 10:14:00 AM,1,DRIVER,,FORD,CROWN VICTORIA,IL,1997,NONE,PASSENGER,PERSONAL,E,STRAIGHT AHEAD,1
1257335,fcdd2f289720e823c67a8a7e3dc69ee9c2e388eee830752f3c502248084dd4c072a51f8509b32eee277c593d6001fbe81af84b7785ee751bd795bfa628d4e151,1193474,193,01/04/2022 10:14:00 AM,2,DRIVER,,CHEVROLET,MALIBU,IL,2018,NONE,PASSENGER,PERSONAL,E,SLOW/STOP IN TRAFFIC,1
